CASEID,DIARYDAY,TRAVEL_DUR,TRAVEL_WORK_DUR,TRAVEL_SOCO_DUR,TRAVEL_ENT_DUR,TRAVEL_EXE_DUR,OTHER_TRAVEL_DUR,EXE_DUR,ALONE_EXE_DUR,GROUP_EXE_DUR,INT_DUR,ALONE_INT_DUR,GROUP_INT_DUR,WORK_DUR,ALONE_WORK_DUR,GROUP_WORK_DUR,LEI_DUR,ALONE_LEI_DUR,GROUP_LEI_DUR,SLEEP_DUR,OTHER_DUR,AGE,SEX,EDU,EMP_STAT,HOUSE,INC,CHILDREN,ADULT
2.02E+13,3,0,0,0,0,0,0,135,135,0,90,90,0,0,0,0,450,450,0,540,225,60,1,43,5,1,1,0,1
2.02E+13,2,30,0,0,0,0,30,0,0,0,20,20,0,2,2,0,30,30,0,1117,241,40,2,46,1,1,15,0,2
2.02E+13,5,70,45,0,0,0,25,0,0,0,0,0,0,515,0,515,75,0,75,420,360,62,1,43,1,1,14,0,2
2.02E+13,5,77,50,0,0,0,27,45,45,0,60,60,0,245,105,140,10,0,10,523,480,36,2,43,1,1,15,0,3
2.02E+13,1,0,0,0,0,0,0,60,60,0,265,265,0,0,0,0,360,0,360,480,275,73,2,45,5,1,13,0,2
2.02E+13,3,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,405,0,405,570,450,74,1,39,5,1,11,0,2
2.02E+13,1,40,0,0,0,0,40,65,20,45,0,0,0,0,0,0,425,35,390,495,415,50,1,41,1,1,14,4,2
2.02E+13,5,20,0,0,0,0,20,0,0,0,180,90,90,0,0,0,120,120,0,600,520,21,1,37,1,1,7,0,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,765,60,570,45,59,2,40,5,1,6,0,2
2.02E+13,5,90,45,0,0,0,45,0,0,0,0,0,0,595,30,565,155,155,0,421,179,59,1,39,1,5,12,0,1
2.02E+13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,480,840,85,1,39,1,1,7,0,2
2.02E+13,4,40,0,0,0,40,0,90,45,45,0,0,0,0,0,0,390,240,150,740,180,61,1,39,5,1,9,0,2
2.02E+13,3,90,35,0,0,30,25,120,0,120,60,60,0,425,0,425,15,0,15,580,150,28,1,43,1,1,14,0,1
2.02E+13,1,60,0,0,0,0,60,10,10,0,0,0,0,0,0,0,475,290,185,600,295,79,2,42,5,1,4,0,1
2.02E+13,5,75,75,0,0,0,0,45,15,30,15,15,0,480,0,480,150,0,150,540,135,35,1,44,1,1,16,0,2
2.02E+13,1,240,0,0,60,0,180,0,0,0,120,120,0,0,0,0,305,95,210,485,290,73,2,42,5,1,15,1,4
2.02E+13,1,30,30,0,0,0,0,0,0,0,0,0,0,565,0,565,115,115,0,570,160,56,1,46,1,1,15,0,2
2.02E+13,4,55,0,0,0,0,55,0,0,0,0,0,0,420,420,0,120,0,120,550,295,29,1,43,1,1,15,0,3
2.02E+13,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,150,150,0,615,672,73,2,41,5,1,10,0,1
2.02E+13,1,30,0,0,0,30,0,55,15,40,0,0,0,0,0,0,445,300,145,545,365,42,1,39,3,1,15,2,0
2.02E+13,2,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,705,705,0,420,305,76,2,39,5,1,8,0,3
2.02E+13,1,230,0,10,0,120,100,120,0,120,0,0,0,45,45,0,95,35,60,505,445,38,2,44,1,1,16,2,2
2.02E+13,3,104,45,0,0,0,59,0,0,0,0,0,0,585,145,440,0,0,0,480,271,35,1,43,1,1,14,2,2
2.02E+13,3,105,60,0,0,0,45,0,0,0,0,0,0,440,0,440,255,255,0,508,132,63,2,42,1,1,14,0,1
2.02E+13,1,55,0,0,0,0,55,0,0,0,30,30,0,0,0,0,455,440,15,535,365,78,2,39,5,1,8,0,1
2.02E+13,1,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,307,120,187,630,471,23,2,43,1,1,12,0,2
2.02E+13,7,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,300,180,120,610,490,37,1,43,1,1,14,2,2
2.02E+13,1,203,0,90,0,0,113,10,10,0,0,0,0,0,0,0,275,110,165,705,247,46,1,40,1,1,15,1,0
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,375,600,465,47,1,41,1,1,16,1,3
2.02E+13,1,45,0,0,0,0,45,0,0,0,130,130,0,0,0,0,353,88,265,480,432,70,2,39,5,1,8,0,2
2.02E+13,3,0,0,0,0,0,0,60,0,60,0,0,0,480,480,0,15,0,15,359,526,43,1,42,1,1,9,0,2
2.02E+13,1,40,0,20,0,0,20,60,60,0,0,0,0,0,0,0,275,65,210,630,435,72,2,42,5,1,6,0,2
2.02E+13,3,91,5,0,0,0,86,0,0,0,20,20,0,308,143,165,80,80,0,515,426,62,2,39,1,1,16,0,2
2.02E+13,7,36,0,26,0,0,10,0,0,0,0,0,0,0,0,0,135,30,105,619,650,77,2,44,2,1,1,0,3
2.02E+13,3,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,540,0,540,335,535,39,1,42,1,1,3,1,2
2.02E+13,1,90,0,0,0,0,90,45,45,0,0,0,0,0,0,0,465,90,375,555,285,80,2,39,5,1,7,0,1
2.02E+13,2,65,0,40,0,0,25,0,0,0,0,0,0,0,0,0,505,120,385,565,305,73,2,43,5,1,14,0,2
2.02E+13,7,105,0,0,0,0,105,0,0,0,0,0,0,0,0,0,120,0,120,615,600,31,2,46,1,1,16,0,2
2.02E+13,7,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,860,680,180,480,40,51,2,43,1,1,15,0,1
